Bin ID,Vendor,Part ID,Qty on Hand,Reorder Qty,Link to Purchase
1,AmazonBasics,4 Port USB 3.0 Hub,4,2,https://www.amazon.com/AmazonBasics-Port-2-5A-power-adapter/dp/B00DQFGH80/ref=sr_1_1?ie=UTF8&qid=1497896414&sr=8-1&keywords=Amazon%2BBasics%2B4%2BPort%2BUSB%2B3.0%2BHub&th=1
2,AmazonBasics,USB to 10/100/1000 Gigabit Ethernet-Adapter,4,2,https://www.amazon.com/AmazonBasics-1000-Gigabit-Ethernet-Adapter/dp/B00M77HMU0/ref=sr_1_1?ie=UTF8&qid=1497896467&sr=8-1&keywords=Amazon+Basics+USB+to+10%2F100%2F1000+Gigabit+Ethernet-Adapter
3,Dell ,HDMI to DVI Display Adapter/Cable/Connector - G8M3C / CN-0G8M3C,2,1,https://www.amazon.com/Dell-Display-Adapter-Cable-Connector/dp/B00GFXF1VY
4,Dell,DisplayPort to DVI Single Link Adapter DPN 0KKMYD,10,5,https://www.amazon.com/Dell-DisplayPort-Single-Link-Adapter/dp/B00Q20H3O8/ref=pd_bxgy_23_img_2?_encoding=UTF8&pd_rd_i=B00Q20H3O8&pd_rd_r=ECV1Y60DWR9CJ3NDXP4F&pd_rd_w=N41ww&pd_rd_wg=kUlPC&psc=1&refRID=ECV1Y60DWR9CJ3NDXP4F
5,AmazonBasics,DisplayPort to DisplayPort Cable - 3 Feet,4,2,https://www.amazon.com/AmazonBasics-DisplayPort-Cable-Feet/dp/B01J8S6G16/ref=sr_1_1?ie=UTF8&qid=1497896608&sr=8-1&keywords=AmazonBasics+DisplayPort+to+DisplayPort+Cable+-+3+Feet
6,AmazonBasics,DisplayPort to VGA Adapter,4,2,https://www.amazon.com/AmazonBasics-DisplayPort-to-VGA-Adapter/dp/B01CUPAG3S/ref=sr_1_1?s=electronics&ie=UTF8&qid=1497898268&sr=1-1&keywords=amazonbasics+displayport+to+vga
7,AmazonBasics,High-Speed HDMI Cable - 6 Feet (2-Pack) (Latest Standard),4,2,https://www.amazon.com/AmazonBasics-High-Speed-HDMI-Cable-Standard/dp/B014I8SX4Y/ref=sr_1_1?s=electronics&ie=UTF8&qid=1497898073&sr=1-1&keywords=amazonbasics%2Bhdmi&th=1
8,Dell,Latitude E7250 E7450 Docking Spacer Adapter for E-Port Docks,6,3,https://www.amazon.com/Dell-Latitude-Docking-Spacer-Adapter/dp/B01BJ2ILIA/ref=sr_1_1?ie=UTF8&qid=1497898675&sr=8-1&keywords=dell+docking+station+spacer
9,AmazonBasics ,DVI to DVI Cable - 6.5 Feet (2 Meters),10,5,https://www.amazon.com/AmazonBasics-DVI-Cable-Feet-Meters/dp/B00IHMFIBY/ref=sr_1_2?ie=UTF8&qid=1498058289&sr=8-2&keywords=dvi+i
10,iMBAPrice,Cat6 Snagless Ethernet Patch Cable in White 0.5 Feet (6 Inches),20,10,https://www.amazon.com/iMBAPrice-Ethernet-Network-Patch-Cable/dp/B01MR94NJY/ref=sr_1_2?ie=UTF8&qid=1497958768&sr=8-2&keywords=6%2Binch%2Bcat6&th=1
11,Ultra Clarity,CAT 6 Ethernet Cable (6 Feet) LAN UTP (1.8 Meters) CAT6 RJ45 Network Patch Internet Cable - 2 Pack (6 ft),8,4,https://www.amazon.com/Ethernet-Cable-Meters-Network-Internet/dp/B00GBBSP6S/ref=sr_1_1?ie=UTF8&qid=1497896865&sr=8-1&keywords=Cat6+UTP+Ethernet+Network+Patch+Cable%2C+6-feet
12,AmazonBasics,VGA to VGA Cable - 6 Feet (1.8 Meters),10,5,https://www.amazon.com/AmazonBasics-VGA-Cable-Feet-Meters/dp/B00PML35RC/ref=sr_1_3?s=electronics&ie=UTF8&qid=1497899219&sr=1-3&keywords=vga+cable
13,ClearMax,18awg universal power cord 3-feet,10,5,https://www.amazon.com/ClearMax-Universal-18AWG-Approved-6-Feet/dp/B01IW9AKZ0/ref=sr_1_1?ie=UTF8&qid=1497896981&sr=8-1&keywords=18awg+universal+power+cord%2C+3+feet
14,SanDisk,Ultra USB 3.0 Flash Drive (16 GB),10,5,https://www.amazon.com/SanDisk-Ultra-Flash-FasterTransfer-Speeds-SDCZGXB-016G-AW46X/dp/B01DSGPQDS/ref=sr_1_4?ie=UTF8&qid=1497896299&sr=8-4&keywords=sandisk+ultra+16+usb
15,Attmu,Velcro straps,2,1,https://www.amazon.com/Attmu-Reusable-Fastening-Microfiber-6-Inch/dp/B00O9VKVFK/ref=sr_1_4?ie=UTF8&qid=1497897026&sr=8-4&keywords=velcro+straps
16,Fargo,DTC ID Cleaning Kit,4,2,https://www.amazon.com/Fargo-86177-Cleaning-Kit-DTC1000/dp/B0045ZXDDC
17,Key-Bak,Retract-A-Badge ID Pack of 5 Carabiner Retractable Reel with 36-Inch Cord and Twist-Free Vinyl ID Strap,10,5,https://www.amazon.com/KEY-BAK-RETRACT-Carabiner-Retractable-Twist-Free/dp/B0088MPO1W/ref=sr_1_1?ie=UTF8&qid=1498060118&sr=8-1&keywords=key-bak+retract-a-badge+id+carabiner
18,HID,Blank ID Printable Clamshell Label - Pack of 100,2,1,https://www.amazon.com/Avery-Permanent-Labels-Printers-2-62-Inch/dp/B002CO42VU/ref=sr_1_13?ie=UTF8&qid=1499457995&sr=8-13&keywords=id+label
19,KLOUD City,10 pcs vertical style Black leather business ID badge card holder with slot & chain Holes,8,4,https://www.amazon.com/KLOUD-City-vertical-leather-business/dp/B00BSQ1JTQ/ref=sr_1_1?ie=UTF8&qid=1497896814&sr=8-1&keywords=KLOUD+City+10+pcs+vertical+style+Black+leather+business+ID+badge+card+holder+with+slot+%26+chain+Holes
20,HID,ProxCard II Cards,2,1,https://www.amazon.com/HID-1326LSSMV-1326-PROX-WEIGAND/dp/B0141K82J0/ref=sr_1_2?ie=UTF8&qid=1499457897&sr=8-2&keywords=hid+prox+card
